ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,monthly,monthly_lower,monthly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,additive_terms,additive_terms_lower,additive_terms_upper,yhat
2023-05-06,63.82688794165649,89.02047954043935,118.99373674228892,63.82688794165649,63.82688794165649,0.0009194870980596273,0.0009194870980596273,0.0009194870980596273,0.6282793573428046,0.6282793573428046,0.6282793573428046,0.3800539766170279,0.3800539766170279,0.3800539766170279,0.24730589362771702,0.24730589362771702,0.24730589362771702,0.0,0.0,0.0,103.92800407883163
2023-05-07,63.82541720470805,44.45661885561821,73.97045983541483,63.82541720470805,63.82541720470805,-0.002502351481469214,-0.002502351481469214,-0.002502351481469214,-0.07737457169169526,-0.07737457169169526,-0.07737457169169526,-0.3165336864432912,-0.3165336864432912,-0.3165336864432912,0.2416614662330652,0.2416614662330652,0.2416614662330652,0.0,0.0,0.0,58.88695288545001
2023-05-08,63.82394646775961,61.97486631539954,92.47465817589787,63.82394646775961,63.82394646775961,0.0066407721273096625,0.0066407721273096625,0.0066407721273096625,0.2300847552788194,0.2300847552788194,0.2300847552788194,-0.013663688641031721,-0.013663688641031721,-0.013663688641031721,0.23710767179254144,0.23710767179254144,0.23710767179254144,0.0,0.0,0.0,78.50886357172256
2023-05-09,63.82247573081118,64.19613311849068,95.25860077646436,63.82247573081118,63.82247573081118,0.017851877824172534,0.017851877824172534,0.017851877824172534,0.24041400887885417,0.24041400887885417,0.24041400887885417,-0.01116621852319831,-0.01116621852319831,-0.01116621852319831,0.23372834957788002,0.23372834957788002,0.23372834957788002,0.0,0.0,0.0,79.16629297782887
2023-05-10,63.82100499386273,64.07907914277789,94.15058811199832,63.82100499386273,63.82100499386273,0.019740970460800235,0.019740970460800235,0.019740970460800235,0.2283923656911222,0.2283923656911222,0.2283923656911222,-0.02292050225136693,-0.02292050225136693,-0.02292050225136693,0.23157189748168897,0.23157189748168897,0.23157189748168897,0.0,0.0,0.0,78.39723530519596
2023-05-11,63.819534256914295,62.85638259947834,94.01938651985816,63.819534256914295,63.819534256914295,0.009083268424409355,0.009083268424409355,0.009083268424409355,0.22279229133495143,0.22279229133495143,0.22279229133495143,-0.016941499999312937,-0.016941499999312937,-0.016941499999312937,0.23065052290985505,0.23065052290985505,0.23065052290985505,0.0,0.0,0.0,78.03803452594165
2023-05-12,63.818063519965854,63.74984298216325,93.19406237584317,63.818063519965854,63.818063519965854,-0.007458789906777729,-0.007458789906777729,-0.007458789906777729,0.224653399283693,0.224653399283693,0.224653399283693,0.0011716192425321459,0.0011716192425321459,0.0011716192425321459,0.2309405699479386,0.2309405699479386,0.2309405699479386,0.0,0.0,0.0,78.15500842542882
2023-05-13,63.81659278301742,85.53690800302702,117.50087904574806,63.81659278301742,63.81659278301742,-0.019516905632571087,-0.019516905632571087,-0.019516905632571087,0.5929209682042654,0.5929209682042654,0.5929209682042654,0.38005397661692275,0.38005397661692275,0.38005397661692275,0.23238389721991373,0.23238389721991373,0.23238389721991373,0.0,0.0,0.0,101.65478876342145
2023-05-14,63.815122046068986,42.791183525699225,72.57300344614352,63.815122046068986,63.815122046068986,-0.02113899561245676,-0.02113899561245676,-0.02113899561245676,-0.102782431661327,-0.102782431661327,-0.102782431661327,-0.3165336864434142,-0.3165336864434142,-0.3165336864434142,0.23489025039454392,0.23489025039454392,0.23489025039454392,0.0,0.0,0.0,57.256048625409655
2023-05-15,63.81365130912054,62.360312066180086,91.89016457452867,63.81365130912054,63.81365130912054,-0.01414186128828395,-0.01414186128828395,-0.01414186128828395,0.2105349948870345,0.2105349948870345,0.2105349948870345,-0.01366368864192545,-0.01366368864192545,-0.01366368864192545,0.23834054481724382,0.23834054481724382,0.23834054481724382,0.0,0.0,0.0,77.24865806120924
